# ── Normal traffic (baseline) ───────────────────────────────────────────────
192.168.1.10 - alice [18/Mar/2026:08:00:01 +0000] "GET /index.html HTTP/1.1" 200 4523 "https://company.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
77.88.55.99 - - [18/Mar/2026:10:15:15 +0000] "GET /database.sql HTTP/1.1" 403 512 "-" "Mozilla/5.0"
77.88.55.99 - - [18/Mar/2026:10:15:18 +0000] "GET /dump.sql HTTP/1.1" 403 512 "-" "Mozilla/5.0"
77.88.55.99 - - [18/Mar/2026:10:15:21 +0000] "GET /phpinfo.php HTTP/1.1" 200 48291 "-" "Mozilla/5.0"
77.88.55.99 - - [18/Mar/2026:10:15:24 +0000] "GET /server-status HTTP/1.1" 200 4096 "-" "Mozilla/5.0"

# ── ATTACK 6: Second brute-force wave (different IP) ────────────────────────
91.240.118.172 - - [18/Mar/2026:10:30:00 +0000] "POST /api/auth HTTP/1.1" 401 256 "-" "python-requests/2.28.0"
91.240.118.172 - - [18/Mar/2026:10:30:02 +0000] "POST /api/auth HTTP/1.1" 401 256 "-" "python-requests/2.28.0"
91.240.118.172 - - [18/Mar/2026:10:30:04 +0000] "POST /api/auth HTTP/1.1" 401 256 "-" "python-requests/2.28.0"
91.240.118.172 - - [18/Mar/2026:10:30:06 +0000] "POST /api/auth HTTP/1.1" 401 256 "-" "python-requests/2.28.0"
91.240.118.172 - - [18/Mar/2026:10:30:08 +0000] "POST /api/auth HTTP/1.1" 401 256 "-" "python-requests/2.28.0"
91.240.118.172 - - [18/Mar/2026:10:30:10 +0000] "POST /api/auth HTTP/1.1" 401 256 "-" "python-requests/2.28.0"
91.240.118.172 - - [18/Mar/2026:10:30:12 +0000] "POST /api/auth HTTP/1.1" 401 256 "-" "python-requests/2.28.0"
91.240.118.172 - - [18/Mar/2026:10:30:14 +0000] "POST /api/auth HTTP/1.1" 401 256 "-" "python-requests/2.28.0"

# ── Normal traffic continues (shows AI correctly ignores benign requests) ────
10.0.0.5 - dave [18/Mar/2026:10:45:00 +0000] "GET /api/products HTTP/1.1" 200 15230 "-" "Mozilla/5.0"
10.0.0.6 - eve [18/Mar/2026:10:45:10 +0000] "POST /api/checkout HTTP/1.1" 200 890 "-" "Mozilla/5.0"
10.0.0.7 - frank [18/Mar/2026:10:45:20 +0000] "GET /images/logo.png HTTP/1.1" 200 23401 "-" "Mozilla/5.0"
